OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE_FIXED,REPORT_DATE,OCC_DATE_FIXED,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
28,GO-20141341993,2014-01-14,1.38968E+12,2014-01-14,1.38968E+12,2014,January,14,14,Tuesday   ,14,2014,January,14,14,Tuesday   ,13,D22,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2133,200,Theft Over - Shoplifting,Theft Over,10,Princess-Rosethorn,10,Princess-Rosethorn (10),-79.55761055,43.6754824
29,GO-20141343665,2014-01-14,1.38968E+12,2014-01-14,1.38968E+12,2014,January,14,14,Tuesday   ,18,2014,January,14,14,Tuesday   ,11,D52,Other Passenger Train,Transit,2130,210,Theft Over,Theft Over,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),-79.3805775,43.64641459
30,GO-20141340474,2014-01-14,1.38968E+12,2014-01-13,1.38959E+12,2014,January,14,14,Tuesday   ,8,2014,January,13,13,Monday    ,21,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,72,Regent Park,72,Regent Park (72),-79.36299801,43.66008107
31,GO-20141338731,2014-01-14,1.38968E+12,2014-01-13,1.38959E+12,2014,January,14,14,Tuesday   ,0,2014,January,13,13,Monday    ,21,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,78,Kensington-Chinatown,78,Kensington-Chinatown (78),-79.39744642,43.65357231
32,GO-20141343564,2014-01-14,1.38968E+12,2014-01-12,1.3895E+12,2014,January,14,14,Tuesday   ,18,2014,January,12,12,Sunday    ,21,D52,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.38555256,43.64886282
33,GO-20141340641,2014-01-14,1.38968E+12,2014-01-14,1.38968E+12,2014,January,14,14,Tuesday   ,9,2014,January,14,14,Tuesday   ,9,D11,Schools During Un-Supervised Activity,Educational,2132,200,Theft From Motor Vehicle Over,Theft Over,88,High Park North,88,High Park North (88),-79.47517835,43.65762623
34,GO-20141382719,2014-01-15,1.38976E+12,2013-01-01,1.35702E+12,2014,January,15,15,Wednesday ,13,2013,January,1,1,Tuesday   ,7,D23,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,6,Kingsview Village-The Westway,6,Kingsview Village-The Westway (6),-79.55291543,43.68621554
35,GO-20141350542,2014-01-15,1.38976E+12,2014-01-15,1.38976E+12,2014,January,15,15,Wednesday ,20,2014,January,15,15,Wednesday ,18,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,16,Stonegate-Queensway,16,Stonegate-Queensway (16),-79.50262858,43.62633009
36,GO-20141347372,2014-01-15,1.38976E+12,2014-01-14,1.38968E+12,2014,January,15,15,Wednesday ,11,2014,January,14,14,Tuesday   ,16,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,200,Theft From Mail / Bag / Key,Theft Over,88,High Park North,88,High Park North (88),-79.46156423,43.66150963
37,GO-20141347424,2014-01-15,1.38976E+12,2014-01-14,1.38968E+12,2014,January,15,15,Wednesday ,13,2014,January,14,14,Tuesday   ,23,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2132,200,Theft From Motor Vehicle Over,Theft Over,9,Edenbridge-Humber Valley,9,Edenbridge-Humber Valley (9),-79.5246187,43.67770676
